品番	ISOコード	材料/結合形式	作業部形状	最大径	
Model	ISO Code	Material	"Working
Shape"		
BC-31	806-314-002-524-018	806	2	1.8	
BC-31C	806-314-002-534-019	806	2	1.9	
BC-32	806-314-002-524-016	806	2	1.6	
BC-42	806-314-002-524-014	806	2	1.4	
BC-42C	806-314-002-534-015	806	2	1.5	
BC-43	806-314-002-524-012	806	2	1.2	
BC-43C	806-314-002-534-013	806	2	1.3	
BC-S42	806-313-002-524-014	806	2	1.4	
BC-S42C	806-313-002-534-015	806	2	1.5	
BC-S43	806-313-002-524-012	806	2	1.2	
BR-154	806-316-001-524-016	806	1	1.6	
BR-31	806-314-001-524-018	806	1	1.8	
BR-31C	806-314-001-534-019	806	1	1.9	
BR-31SC	806-314-001-544-020	806	1	2	
BR-32C	806-315-001-534-019	806	1	1.9	
BR-32EF	806-314-001-504-018	806	1	1.8	
BR-33	806-315-001-524-028	806	1	2.8	
BR-34	806-315-001-524-035	806	1	3.5	
BR-40	806-315-001-524-016	806	1	1.6	
BR-40C	806-315-001-534-017	806	1	1.7	
BR-40EF	806-314-001-504-015	806	1	1.5	
BR-40SC	806-315-001-544-018	806	1	1.8	
BR-41	806-314-001-524-014	806	1	1.4	
BR-41C	806-314-001-534-015	806	1	1.5	
BR-41SC	806-314-001-544-016	806	1	1.6	
BR-42	806-315-001-524-011	806	1	1.1	
BR-43	806-315-001-524-013	806	1	1.3	
BR-44	806-314-001-524-010	806	1	1	
BR-45	806-314-001-524-010	806	1	1	
BR-45C	806-314-001-534-011	806	1	1.1	
BR-45SC	806-314-001-544-012	806	1	1.2	
BR-46	806-314-001-524-012	806	1	1.2	
BR-46C	806-314-001-534-013	806	1	1.3	
BR-46SC	806-314-001-544-014	806	1	1.4	
BR-48F	806-314-001-514-006	806	1	0.6	
BR-49	806-314-001-524-008	806	1	0.8	
BR-49C	806-314-001-534-009	806	1	0.9	
BR-S45	806-313-001-524-010	806	1	1	
BR-S46	806-313-001-524-012	806	1	1.2	
BR-S46C	806-313-001-534-013	806	1	1.3	
CD-50F	806-313-001-514-006	806	1	0.6	
CD-51F	806-313-138-514-007	806	138	0.7	
CD-52F	806-313-139-514-007	806	139	0.7	
CD-53F	806-313-539-514-007	806	539	0.7	
CD-54F	806-313-295-514-007	806	295	0.7	
CD-55F	806-313-277-514-008	806	277	0.8	
CD-56F	806-313-295-514-007	806	295	0.7	
CD-57F	806-313-295-514-007	806	295	0.7	
CD-58	806-313-156-524-010	806	156	1	
CD-58F	806-313-156-514-009	806	156	0.9	
CD-59F	806-313-197-514-013	806	197	1.3	
CD-60F	806-314-138-514-007	806	138	0.7	
CD-61F	806-314-139-514-007	806	139	0.7	
CD-62F	806-314-156-514-009	806	156	0.9	
CD-SS51	806-313-138-524-009	806	138	0.9	
CE-12	806-315-546-524-022	806	546	2.2	
CE-12EF	806-315-546-504-019	806	546	1.9	
CE-12F	806-315-546-514-021	806	546	2.1	
CE-13	806-314-544-524-021	806	544	2.1	
CE-13EF	806-314-544-504-019	806	544	1.9	
CE-13F	806-314-544-514-020	806	544	2	
CE-15EF	806-315-254-504-025	806	254	2.5	
CE-15F	806-315-254-514-027	806	254	2.7	
CE-16	806-315-198-524-015	806	198	1.5	
CE-16EF	806-315-198-504-015	806	198	1.5	
CE-16F	806-315-198-514-017	806	198	1.7	
CE-17	806-315-172-524-012	806	172	1.2	
CE-17EF	806-315-172-504-010	806	172	1	
CE-17F	806-315-546-514-011	806	546	1.1	
CR-11EF	806-314-196-504-019	806	196	1.9	
CR-11F	806-314-196-514-020	806	196	2	
CR-12EF	806-314-196-504-013	806	196	1.3	
CR-12F	806-314-196-514-015	806	196	1.5	
CR-21F	806-315-197-514-012	806	197	1.2	
CR-22F	806-315-298-514-013	806	298	1.3	
DI-41	806-314-032-524-011	806	32	1.1	
