Model	Color Coding	ISO Code	Material	Shank Shape/Length	Working Shape	Grid Size	åƒÇ—åa	ëSí∑	çÏã∆ïîí∑	US/EU
BC-31C	Green	806-314-002-534-019	806	314	002	534	19	19.1	2.43	802
BC-32	Blue	806-314-002-524-016	806	314	002	524	16	19.1	3.55	802
BC-42	Blue	806-314-002-524-014	806	314	002	524	14	19.1	2.5	802
BC-42C	Green	806-314-002-534-015	806	314	002	534	15	19.15	2.6	802
BC-43	Blue	806-314-002-524-012	806	314	002	524	12	19.1	2.55	802
BC-43C	Green	806-314-002-534-013	806	314	002	534	13	19.1	2.6	802
BC-S42	Blue	806-313-002-524-014	806	313	002	524	14	16.7	2.5	802
BC-S42C	Green	806-313-002-534-015	806	313	002	534	15	16.75	2.6	802
BC-S43	Blue	806-313-002-524-012	806	313	002	524	12	16.7	2.55	802
BR-154	Blue	806-316-001-524-016	806	316	001	524	16	24.15	1.67	801
BR-31	Blue	806-314-001-524-018	806	314	001	524	18	19.1	1.6	801
BR-31C	Green	806-314-001-534-019	806	314	001	534	19	19.1	1.65	801
BR-31SC	Black	806-314-001-544-020	806	314	001	544	20	19.2	1.75	801
BR-32C	Green	806-315-001-534-019	806	315	001	534	19	21.1	1.7	801
BR-32EF	Yellow	806-314-001-504-018	806	314	001	504	18	19.92	1.72	801
BR-33	Blue	806-315-001-524-028	806	315	001	524	28	20.1	2.55	801
BR-34	Blue	806-315-001-524-035	806	315	001	524	35	20.1	3.35	801
BR-40	Blue	806-315-001-524-016	806	315	001	524	16	20.2	1.47	801
BR-40C	Green	806-315-001-534-017	806	315	001	534	17	20.2	1.52	801
BR-40EF	Yellow	806-314-001-504-015	806	314	001	504	15	18.92	1.37	801
BR-40SC	Black	806-315-001-544-018	806	315	001	544	18	20.3	1.62	801
BR-41	Blue	806-314-001-524-014	806	314	001	524	14	19.1	1.25	801
BR-41C	Green	806-314-001-534-015	806	314	001	534	15	19.1	1.3	801
BR-41SC	Black	806-314-001-544-016	806	314	001	544	16	19.2	1.4	801
BR-42	Blue	806-315-001-524-011	806	315	001	524	11	20.2	1.03	801
BR-43	Blue	806-315-001-524-013	806	315	001	524	13	21	1.15	801
BR-44	Blue	806-314-001-524-010	806	314	001	524	10	19.5	0.88	801
BR-45	Blue	806-314-001-524-010	806	314	001	524	10	19.1	0.91	801
BR-45C	Green	806-314-001-534-011	806	314	001	534	11	19.1	0.96	801
BR-45SC	Black	806-314-001-544-012	806	314	001	544	12	19.2	1.06	801
BR-46	Blue	806-314-001-524-012	806	314	001	524	12	19.1	1.05	801
BR-46C	Green	806-314-001-534-013	806	314	001	534	13	19.1	1.1	801
BR-46SC	Black	806-314-001-544-014	806	314	001	544	14	19.2	1.2	801
BR-48F	Red	806-314-001-514-006	806	314	001	514	6	19	0.53	801
BR-49	Blue	806-314-001-524-008	806	314	001	524	8	19	0.7	801
BR-49C	Green	806-314-001-534-009	806	314	001	534	9	19	0.75	801
BR-S45	Blue	806-313-001-524-010	806	313	001	524	10	16.7	0.91	801
BR-S46	Blue	806-313-001-524-012	806	313	001	524	12	16.7	1.05	801
BR-S46C	Green	806-313-001-534-013	806	313	001	534	13	16.7	1.1	801
CD-50F	Red	806-313-001-514-006	806	313	001	514	6	16.7	0.55	801
CD-51F	Red	806-313-138-514-007	806	313	138	514	7	16.7	2.15	838
CD-52F	Red	806-313-139-514-007	806	313	139	514	7	16.7	3.75	838
CD-53F	Red	806-313-539-514-007	806	313	539	514	7	16.7	2.15	161
CD-54F	Red	806-313-295-514-007	806	313	295	514	7	16.7	2.15	246
CD-55F	Red	806-313-277-514-008	806	313	277	514	8	16.7	1.15	254
CD-56F	Red	806-313-295-514-007	806	313	295	514	7	16.7	2.15	246
CD-57F	Red	806-313-295-514-007	806	313	295	514	7	16.7	3.55	860
CD-58	Blue	806-313-156-524-010	806	313	156	524	10	16.3	3.25	835
CD-58F	Red	806-313-156-514-009	806	313	156	514	9	16.2	3.15	835
CD-59F	Red	806-313-197-514-013	806	313	197	514	13	16.7	6.85	846
CD-60F	Red	806-314-138-514-007	806	314	138	514	7	19	2.15	838
CD-61F	Red	806-314-139-514-007	806	314	139	514	7	19	3.75	838
CD-62F	Red	806-314-156-514-009	806	314	156	514	9	19	3.15	835
CD-SS51	Blue	806-313-138-524-009	806	313	138	524	9	16.05	2.25	838
CE-12	Blue	806-315-546-524-022	806	315	546	524	22	21.8	9.25	847KR
CE-12EF	Yellow	806-315-546-504-019	806	315	546	504	19	21.62	8.93	847KR
CE-12F	Red	806-315-546-514-021	806	315	546	514	21	21.7	9.05	847KR
CE-13	Blue	806-314-544-524-021	806	314	544	524	21	19	5.45	845KR
CE-13EF	Yellow	806-314-544-504-019	806	314	544	504	19	18.82	5.13	845KR
CE-13F	Red	806-314-544-514-020	806	314	544	514	20	18.9	5.25	845KR
CE-15EF	Yellow	806-315-254-504-025	806	315	254	504	25	20.52	4.62	254
CE-15F	Red	806-315-254-514-027	806	315	254	514	27	20.6	4.75	254
CE-16	Blue	806-315-198-524-015	806	315	198	524	15	21.8	9.15	856
CE-16EF	Yellow	806-315-198-504-015	806	315	198	504	15	21.62	8.92	856
CE-16F	Red	806-315-198-514-017	806	315	198	514	17	21.7	9.05	856
CE-17	Blue	806-315-172-524-012	806	315	172	524	12	22	8.15	847
CE-17EF	Yellow	806-315-172-504-010	806	315	172	504	10	21.82	7.92	847
CE-17F	Red	806-315-546-514-011	806	315	546	514	11	21.9	8.05	847KR
CR-11EF	Yellow	806-314-196-504-019	806	314	196	504	19	18.92	4.93	849
CR-11F	Red	806-314-196-514-020	806	314	196	514	20	19	5.05	849
CR-12EF	Yellow	806-314-196-504-013	806	314	196	504	13	18.92	3.92	849
CR-12F	Red	806-314-196-514-015	806	314	196	514	15	19	4.05	849
CR-21F	Red	806-315-197-514-012	806	315	197	514	12	21.5	7.05	855
CR-22F	Red	806-315-298-514-013	806	315	298	514	13	21.5	8.05	878
DI-41	Blue	806-314-032-524-011	806	314	032	524	11	19.1	2.35	806
DI-41C	Green	806-314-032-534-011	806	314	032	534	11	19.1	2.4	190
DI-42	Blue	806-314-032-524-014	806	314	032	524	14	19.1	3.25	806
DI-42C	Green	806-314-032-534-015	806	314	032	534	15	19.1	3.3	190
DI-S41	Blue	806-314-032-524-011	806	314	032	524	11	17.2	2.35	806
DI-SS41	Blue	806-312-032-524-011	806	312	032	524	11	14.5	2.35	806
EX-11	Blue	806-314-039-524-032	806	314	039	524	32	19.1	4.95	811
EX-11C	Green	806-314-039-534-033	806	314	039	534	33	19.1	5	811
EX-11EF	Yellow	806-314-039-504-029	806	314	039	504	29	18.92	4.72	811
EX-11SC	Black	806-314-039-544-034	806	314	039	544	34	19.2	5.1	811
